,Tournament Name,Year,Date,Time,WBGT,AQI Reading,EWCR,Air Temperature,Relative Humidity,Type of Day,Tournament Level,Tournament City
0,2024 - MUMBAI 125,2024.0,2/06/2024,10:30:00,29.4,152.0,OUT,33.8,42.6,Sunny,,MUMBAI
1,2024 - MUMBAI 125,2024.0,2/06/2024,12:30:00,30.3,152.0,IN – MODIFICATION OF PLAY,35.5,43.0,Sunny,,MUMBAI
2,2024 - MUMBAI 125,2024.0,2/06/2024,14:30:00,32.2,152.0,IN – MODIFICATION OF PLAY,36.6,41.5,Sunny,,MUMBAI
3,2024 - MUMBAI 125,2024.0,2/06/2024,15:00:00,31.1,,IN – MODIFICATION OF PLAY,34.4,48.2,Sunny,,MUMBAI
4,2024 - MUMBAI 125,2024.0,2/06/2024,17:30:00,24.5,107.0,OUT,27.8,68.9,Sunny,,MUMBAI
5,2024 - MUMBAI 125,2024.0,2/07/2024,11:30:00,30.3,122.0,IN – MODIFICATION OF PLAY,33.6,44.9,Sunny,,MUMBAI
6,2024 - MUMBAI 125,2024.0,2/07/2024,13:30:00,30.3,136.0,IN – MODIFICATION OF PLAY,35.0,50.2,Sunny,,MUMBAI
7,2024 - MUMBAI 125,2024.0,2/07/2024,15:00:00,30.2,165.0,IN – MODIFICATION OF PLAY,34.8,51.1,Sunny,,MUMBAI
8,2024 - MUMBAI 125,2024.0,2/07/2024,17:30:00,24.4,122.0,OUT,28.9,55.0,Sunny,,MUMBAI
9,2024 - MUMBAI 125,2024.0,2/08/2024,12:30:00,30.2,95.0,IN – MODIFICATION OF PLAY,35.9,40.6,Sunny,,MUMBAI
10,2024 - MUMBAI 125,2024.0,2/08/2024,15:30:00,30.2,99.0,IN – MODIFICATION OF PLAY,34.9,46.8,Sunny,,MUMBAI
11,2024 - MUMBAI 125,2024.0,2/08/2024,17:30:00,25.5,126.0,OUT,29.1,55.6,Sunny,,MUMBAI
12,2024 - MUMBAI 125,2024.0,2/09/2024,14:00:00,30.4,93.0,IN – MODIFICATION OF PLAY,35.3,38.2,Sunny,,MUMBAI
13,2024 - MUMBAI 125,2024.0,2/09/2024,16:00:00,30.1,97.0,IN – MODIFICATION OF PLAY,33.6,39.0,Sunny,,MUMBAI
14,2024 - MUMBAI 125,2024.0,2/09/2024,18:00:00,22.6,82.0,OUT,26.6,60.0,Sunny,,MUMBAI
15,2024 - MUMBAI 125,2024.0,2/10/2024,14:00:00,30.2,156.0,IN – MODIFICATION OF PLAY,36.3,42.5,Sunny,,MUMBAI
16,2024 - MUMBAI 125,2024.0,2/10/2024,16:00:00,25.9,,OUT,30.9,,Sunny,,MUMBAI
17,2024 - MUMBAI 125,2024.0,2/11/2024,18:00:00,21.0,94.0,OUT,24.8,59.2,Partial Clouds,,MUMBAI
18,2024 - MUMBAI 125,2024.0,2/03/2024,10:30:00,26.4,161.0,OUT,30.7,37.3,Sunny,,MUMBAI
19,2024 - MUMBAI 125,2024.0,2/03/2024,12:30:00,25.3,,OUT,33.2,31.2,Sunny,,MUMBAI
20,2024 - MUMBAI 125,2024.0,2/03/2024,14:30:00,28.6,,OUT,34.9,43.9,Sunny,,MUMBAI
21,2024 - MUMBAI 125,2024.0,2/03/2024,16:30:00,26.7,108.0,OUT,29.9,60.8,Sunny,,MUMBAI
22,2024 - MUMBAI 125,2024.0,2/04/2024,11:30:00,30.9,150.0,IN – MODIFICATION OF PLAY,36.9,26.6,Sunny,,MUMBAI
23,2024 - MUMBAI 125,2024.0,2/04/2024,13:30:00,30.2,161.0,IN – MODIFICATION OF PLAY,34.5,49.1,Sunny,,MUMBAI
24,2024 - MUMBAI 125,2024.0,2/05/2024,10:30:00,28.2,162.0,OUT,34.8,35.8,,,MUMBAI
25,2024 - MUMBAI 125,2024.0,2/05/2024,12:30:00,31.3,142.0,IN – MODIFICATION OF PLAY,36.1,44.1,Sunny,,MUMBAI
26,2024 - MUMBAI 125,2024.0,2/05/2024,14:30:00,28.1,151.0,OUT,33.1,40.4,Sunny,,MUMBAI
27,2024 - MUMBAI 125,2024.0,2/05/2024,17:30:00,24.9,162.0,OUT,29.4,52.3,Sunny,,MUMBAI
28,2024 - DOHA,2024.0,2/10/2024,12:30:00,21.1,150.0,OUT,25.8,40.4,Sunny,1000,DOHA
29,2024 - DOHA,2024.0,2/10/2024,14:30:00,21.8,,OUT,25.3,41.8,"Sunny ,Partial Clouds",1000,DOHA
30,2024 - DOHA,2024.0,2/11/2024,14:00:00,23.2,129.0,OUT,23.7,60.1,Cloudy,1000,DOHA
31,2024 - DOHA,2024.0,2/11/2024,15:30:00,19.5,129.0,OUT,21.7,66.3,"Cloudy,Humid",1000,DOHA
32,2024 - DOHA,2024.0,2/12/2024,14:00:00,18.9,82.0,OUT,21.9,56.4,"Sunny ,Partial Clouds",1000,DOHA
33,2024 - DOHA,2024.0,2/12/2024,18:00:00,17.1,82.0,OUT,21.1,51.3,Cloudy,1000,DOHA
34,2024 - DOHA,2024.0,02-13-2024,13:30:00,25.4,42.0,OUT,30.9,33.7,Sunny,1000,DOHA
35,2024 - DOHA,2024.0,02-13-2024,15:30:00,26.4,70.0,OUT,31.9,40.0,Sunny,1000,DOHA
36,2024 - DOHA,2024.0,02-14-2024,14:00:00,26.3,66.0,OUT,31.0,46.7,"Sunny ,Windy",1000,DOHA
