Date,Key Field,Date And Time,Days Of Week,End Date:,End Date And Time,Heat Stress Record Label,Heat Stress Tournament,Label,Months,Start Date:,Start Date And Time,Template Label,Weeks,Years,EWR - Suspension Or Change In Time,Heat Reading Log - EWR Cause Change,Suspension/Change Match Date,Reason For Suspension/adaptation Of Start Time,Heat Stress Date,Heat Stress Match Start Time,Time Of Heat Reading,Heat Stress Index,Heat Rule In/out,Air Temperature,Ground Temperature,Relative Humidity,Type Of Day,AQI Reading,event-uuid,group-uuid
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/06/2024,11:00:00,10:30:00,29.4,Out,33.8,44.7,42.6,Sunny,152,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/06/2024,11:00:00,12:30:00,30.3,In,35.5,44.1,43,Sunny,152,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/06/2024,11:00:00,14:30:00,32.2,In,36.6,47.8,41.5,Sunny,152,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/06/2024,11:00:00,15:00:00,31.1,In,34.4,44.6,48.2,Sunny,,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/06/2024,11:00:00,17:30:00,24.5,Out,27.8,26.9,68.9,Sunny,107,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/07/2024,12:00:00,11:30:00,30.3,In,33.6,45.7,44.9,Sunny,122,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/07/2024,12:00:00,13:30:00,30.3,In,35,39.9,50.2,Sunny,136,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/07/2024,12:00:00,15:00:00,30.2,In,34.8,40.1,51.1,Sunny,165,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/07/2024,12:00:00,17:30:00,24.4,Out,28.9,30.3,55,Sunny,122,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
10/02/2024,45332118545332.5440509259Mumbai 202429.444.742.645332.5440509259Sunny2024-W06,10.02.2024 13:03:26,6,2/10/2024,,Mumbai 2024,2024 - MUMBAI 125,Mumbai 2024,2024-02,2/10/2024,10.02.2024 13:03:26,Environmental Data Entry Sheet,2024-W06,2024,,,,,2/08/2024,13:00:00,12:30:00,30.2,In,35.9,42.7,40.6,Sunny,95,c32672e9-ee29-4a64-89a0-f37d9cfd4a10,6d13baa4-f447-4422-b78c-e2fc546c2a32
