,Unnamed: 0,Tournament Name,Year,Date,Time,WBGT,AQI Reading,EWCR,Air Temperature,Relative Humidity,Type of Day,Tournament Level,Tournament City,Latitude,Longitude
0,0,2024 - MUMBAI 125,2024.0,2/06/2024,10:30:00,29.4,152.0,OUT,33.8,42.6,Sunny,125.0,MUMBAI,19.054999,72.8692035
1,1,2024 - MUMBAI 125,2024.0,2/06/2024,12:30:00,30.3,152.0,IN – MODIFICATION OF PLAY,35.5,43.0,Sunny,125.0,MUMBAI,19.054999,72.8692035
2,2,2024 - MUMBAI 125,2024.0,2/06/2024,14:30:00,32.2,152.0,IN – MODIFICATION OF PLAY,36.6,41.5,Sunny,125.0,MUMBAI,19.054999,72.8692035
3,3,2024 - MUMBAI 125,2024.0,2/06/2024,15:00:00,31.1,,IN – MODIFICATION OF PLAY,34.4,48.2,Sunny,125.0,MUMBAI,19.054999,72.8692035
4,4,2024 - MUMBAI 125,2024.0,2/06/2024,17:30:00,24.5,107.0,OUT,27.8,68.9,Sunny,125.0,MUMBAI,19.054999,72.8692035
5,5,2024 - MUMBAI 125,2024.0,2/07/2024,11:30:00,30.3,122.0,IN – MODIFICATION OF PLAY,33.6,44.9,Sunny,125.0,MUMBAI,19.054999,72.8692035
6,6,2024 - MUMBAI 125,2024.0,2/07/2024,13:30:00,30.3,136.0,IN – MODIFICATION OF PLAY,35.0,50.2,Sunny,125.0,MUMBAI,19.054999,72.8692035
7,7,2024 - MUMBAI 125,2024.0,2/07/2024,15:00:00,30.2,165.0,IN – MODIFICATION OF PLAY,34.8,51.1,Sunny,125.0,MUMBAI,19.054999,72.8692035
8,8,2024 - MUMBAI 125,2024.0,2/07/2024,17:30:00,24.4,122.0,OUT,28.9,55.0,Sunny,125.0,MUMBAI,19.054999,72.8692035
9,9,2024 - MUMBAI 125,2024.0,2/08/2024,12:30:00,30.2,95.0,IN – MODIFICATION OF PLAY,35.9,40.6,Sunny,125.0,MUMBAI,19.054999,72.8692035
10,10,2024 - MUMBAI 125,2024.0,2/08/2024,15:30:00,30.2,99.0,IN – MODIFICATION OF PLAY,34.9,46.8,Sunny,125.0,MUMBAI,19.054999,72.8692035
11,11,2024 - MUMBAI 125,2024.0,2/08/2024,17:30:00,25.5,126.0,OUT,29.1,55.6,Sunny,125.0,MUMBAI,19.054999,72.8692035
12,12,2024 - MUMBAI 125,2024.0,2/09/2024,14:00:00,30.4,93.0,IN – MODIFICATION OF PLAY,35.3,38.2,Sunny,125.0,MUMBAI,19.054999,72.8692035
13,13,2024 - MUMBAI 125,2024.0,2/09/2024,16:00:00,30.1,97.0,IN – MODIFICATION OF PLAY,33.6,39.0,Sunny,125.0,MUMBAI,19.054999,72.8692035
14,14,2024 - MUMBAI 125,2024.0,2/09/2024,18:00:00,22.6,82.0,OUT,26.6,60.0,Sunny,125.0,MUMBAI,19.054999,72.8692035
15,15,2024 - MUMBAI 125,2024.0,2/10/2024,14:00:00,30.2,156.0,IN – MODIFICATION OF PLAY,36.3,42.5,Sunny,125.0,MUMBAI,19.054999,72.8692035
16,16,2024 - MUMBAI 125,2024.0,2/10/2024,16:00:00,25.9,,OUT,30.9,,Sunny,125.0,MUMBAI,19.054999,72.8692035
17,17,2024 - MUMBAI 125,2024.0,2/11/2024,18:00:00,21.0,94.0,OUT,24.8,59.2,Partial Clouds,125.0,MUMBAI,19.054999,72.8692035
18,18,2024 - MUMBAI 125,2024.0,2/03/2024,10:30:00,26.4,161.0,OUT,30.7,37.3,Sunny,125.0,MUMBAI,19.054999,72.8692035
19,19,2024 - MUMBAI 125,2024.0,2/03/2024,12:30:00,25.3,,OUT,33.2,31.2,Sunny,125.0,MUMBAI,19.054999,72.8692035
20,20,2024 - MUMBAI 125,2024.0,2/03/2024,14:30:00,28.6,,OUT,34.9,43.9,Sunny,125.0,MUMBAI,19.054999,72.8692035
21,21,2024 - MUMBAI 125,2024.0,2/03/2024,16:30:00,26.7,108.0,OUT,29.9,60.8,Sunny,125.0,MUMBAI,19.054999,72.8692035
22,22,2024 - MUMBAI 125,2024.0,2/04/2024,11:30:00,30.9,150.0,IN – MODIFICATION OF PLAY,36.9,26.6,Sunny,125.0,MUMBAI,19.054999,72.8692035
23,23,2024 - MUMBAI 125,2024.0,2/04/2024,13:30:00,30.2,161.0,IN – MODIFICATION OF PLAY,34.5,49.1,Sunny,125.0,MUMBAI,19.054999,72.8692035
