id,label,status,external_string,,,,
1,2020 - ACAPULCO,scheduled,1002,,,,
2,2020 - DOHA,scheduled,1003,,,,
3,2020 - RABAT,scheduled,1005,,,,
4,2020 - NEW YORK,scheduled,1017,,,,
5,2019 - BEIJING,scheduled,1020,,,,
6,2019 - GUANGZHOU,scheduled,1023,,,,
7,2019 - SEOUL,scheduled,1024,,,,
8,2019 - ISTANBUL,scheduled,1027,,,,
9,2020 - MADRID,scheduled,1038,,,,
10,2020 - MONTERREY,scheduled,1039,,,,
11,2020 - WASHINGTON DC,scheduled,1045,,,,
12,2020 - AUCKLAND,scheduled,1049,,,,
13,2020 - HOBART,scheduled,1050,,,,
14,2020 - STUTTGART,scheduled,1051,,,,
15,2020 - BIRMINGHAM,scheduled,1052,,,,
16,2019 - OSAKA,scheduled,1056,,,,
17,2019 - TAIPEI,scheduled,1059,,,,
18,2020 - SHENZHEN,scheduled,1063,,,,
19,2019 - NÜRNBERG,scheduled,1068,,,,
20,2019 - LIMOGES,scheduled,1072,,,,
21,2019 - WUHAN,scheduled,1075,,,,
22,2019 - TIANJIN,scheduled,1076,,,,
23,2019 - NANCHANG,scheduled,1077,,,,
24,2020 - BUCHAREST,scheduled,1079,,,,
25,2020 - NOTTINGHAM,scheduled,1080,,,,
26,2019 - ZHUHAI,scheduled,1081,,,,
27,2020 - PRAGUE,scheduled,1082,,,,
28,2020 - ST. PETERSBURG,scheduled,1086,,,,
29,2020 - BOL,scheduled,1090,,,,
30,2019 - MALLORCA,scheduled,1091,,,,
31,2020 - LAUSANNE,scheduled,1094,,,,
32,2020 - HUA HIN,scheduled,1096,,,,
33,2020 - DEBRECEN,scheduled,1097,,,,
34,2019 - LUGANO,scheduled,1101,,,,
35,2020 - NEWPORT BEACH,scheduled,1102,,,,
36,2020 - INDIAN WELLS 125K,scheduled,1103,,,,
37,2019 - ANNING,scheduled,1104,,,,
38,2019 - HOUSTON,scheduled,2001,,,,
39,2020 - GUADALAJARA,scheduled,2002,,,,
40,2020 - BASTAD,scheduled,2003,,,,
41,2020 - KARLSRUHE,scheduled,2004,,,,
42,2020 - JURMALA,scheduled,2006,,,,
43,2020 - NEW HAVEN 125K,scheduled,2007,,,,
44,2019 - ZHENGZHOU,scheduled,2008,,,,
45,2019 - BRONX,scheduled,2010,,,,
46,2019 - LUXEMBOURG,scheduled,300,,,,
47,2019 - HIROSHIMA,scheduled,405,,,,
48,2020 - STRASBOURG,scheduled,406,,,,
49,2020 - PALERMO,scheduled,466,,,,
50,2020 - LINZ,scheduled,528,,,,
51,2020 - INDIAN WELLS,scheduled,609,,,,
52,2019 - SYDNEY,scheduled,702,,,,
53,2020 - SAN JOSE,scheduled,703,,,,
54,2020 - ROME,scheduled,709,,,,
55,2020 - EASTBOURNE,scheduled,710,,,,
56,2020 - DUBAI,scheduled,718,,,,
57,2019 - MOSCOW,scheduled,730,,,,
58,2020 - BRISBANE,scheduled,800,,,,
59,2020 - CHARLESTON,scheduled,804,,,,
60,2020 - MONTREAL,scheduled,806,,,,
61,2019 - WTA FINALS,scheduled,808,,,,
62,2020 - 'S-HERTOGENBOSCH,scheduled,822,,,,
63,2019 - TASHKENT,scheduled,825,,,,
64,2020 - BOGOTA,scheduled,894,,,,
65,2020 - AUSTRALIAN OPEN,scheduled,901,,,,
66,2020 - MIAMI,scheduled,902,,,,
67,2020 - ROLAND GARROS,scheduled,903,,,,
68,2020 - WIMBLEDON,scheduled,904,,,,
69,2020 - US OPEN,scheduled,905,,,,
70,2020 - LYON,scheduled,2011,,,,
71,2020 - ADELAIDE,scheduled,2014,,,,
72,2020 - BERLIN,scheduled,2012,,,,
73,2020 - BAD HOMBURG,scheduled,2017,,,,
74,2020 - ISTANBUL,scheduled,2020,,,,
75,2020 - ALBANY,scheduled,2013,,,,
76,2020 - WARSAW,scheduled,2016,,,,
