Date_sb,Date of Session,Day of Session,Month of Session,Numerical Value of Month,Year_sb,Date_c,Epoch,Date Reverse,Week,Entered On,Index,WTA Tournament,Log Date,Match Start Time,Time of Reading,WBGT,Air Temperature (TA),Black Globe Temperature (Globe Temp),Relative Humidity_sb,Type of Day,AQI Reading_sb,EWCR,Completion Status,Tournament,Year_sb,Tournament Number,Tournament Surface,Tournament Level,event-uuid_sb,group-uuid_sb,Date_catapult,Key Field,Date And Time,Days Of Week,End Date:,End Date And Time,Heat Stress Record Label,Label,Months,Start Date:,Start Date And Time,Template Label,Weeks,Year_catapult,EWR - Suspension Or Change In Time,Heat Reading Log - EWR Cause Change,Suspension/Change Match Date,Reason For Suspension/adaptation Of Start Time,Heat Stress Date,Heat Stress Match Start Time,Time Of Heat Reading,Heat Stress Index,Heat Rule In/out,Air Temperature,Ground Temperature,Relative Humidity_catapult,Type Of Day,AQI Reading_catapult,event-uuid_catapult,group-uuid_catapult
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/08/2021,10:30:00,14:00:00,22.6,Out,23.2,35.0,20.0,Sunny,,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/09/2021,10:00:00,9:30:00,18.8,Out,22.7,36.9,20.9,Sunny,27.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/09/2021,11:30:00,12:00:00,19.8,Out,25.3,39.1,14.0,Sunny,,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/09/2021,10:00:00,14:00:00,18.4,Out,27.9,35.3,8.0,Sunny,35.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/10/2021,,9:30:00,20.4,Out,24.1,38.9,23.8,Sunny,,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/11/2021,10:00:00,9:30:00,20.8,Out,24.3,38.5,26.4,Sunny,30.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/11/2021,10:30:00,14:00:00,22.3,Out,28.7,36.7,25.0,Sunny,28.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/12/2021,10:00:00,9:30:00,22.8,Out,23.1,40.5,48.5,Sunny,34.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/12/2021,10:30:00,11:30:00,25.1,Out,31.4,42.7,26.0,Sunny,,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202122.6352044203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,01-13-2021,11:30:00,12:00:00,27.3,Out,29.6,46.7,34.5,Sunny,62.0,67acd904-6b3f-42b4-8193-c0072e2d1197,5d55d609-6b95-4ec3-ad0d-08a0c1f9e38c
