Date,Date of Session,Day of Session,Month of Session,Numerical Value of Month,Year,Date_c,Epoch,Date Reverse,Week,Entered On,Index,WTA Tournament,Log Date,Match Start Time,Time of Reading,WBGT,Air Temperature (TA),Black Globe Temperature (Globe Temp),Relative Humidity,Type of Day,AQI Reading,EWCR,Completion Status,Tournament Name,Tournament Year,Tournament Number,Tournament Surface,Tournament Level,event-uuid,group-uuid
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,1.7356E+12,31/12/2024,52,12-31-2024,1,2025 - AUCKLAND 250,12-28-2024,11:00 AM,10:30 AM,20.4,23.1,33.4,43.5,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,2025,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-28-2024,11:00 AM,1:00 PM,21.8,26.1,32.2,42.9,[Partial Clouds],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-28-2024,11:00 AM,3:30 PM,22.6,29.6,30.3,38.9,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-29-2024,11:00 AM,10:30 AM,20.5,24.2,30.5,47.6,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-29-2024,11:00 AM,1:00 PM,24,29.3,34.8,39.7,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-30-2024,11:30 AM,11:00 AM,25,28.9,37.8,40.8,[Partial Clouds],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-30-2024,11:00 AM,6:00 PM,19,21.7,29.3,45.7,[Partial Clouds],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-31-2024,11:30 AM,11:00 AM,17.8,22.1,29.7,41.5,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-31-2024,11:30 AM,2:00 PM,20.1,23.6,35.2,41.4,[Sunny],,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,12-31-2024,11:30 AM,6:00 PM,18.6,21.4,33.4,44.8,[Sunny],13,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/01/2025,11:30 AM,11:00 AM,21.3,25.3,37.2,40.1,[Sunny],17,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/01/2025,11:30 AM,4:00 PM,21.2,23.6,38.4,45,[Cloudy],18,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/02/2025,11:30 AM,11:00 AM,20,23.2,31.9,48.9,[Cloudy],13,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/02/2025,11:30 AM,2:00 PM,19.1,22.6,30.8,46.3,[Sunny],12,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/02/2025,11:30 AM,6:00 PM,17.2,20.7,24.5,52.4,[Cloudy],11,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/03/2025,11:30 AM,11:00 AM,20.7,23.2,30.3,49.2,[Cloudy],11,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/03/2025,11:30 AM,2:30 PM,22.3,25.2,36,45.8,[Sunny],17,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/03/2025,11:30 AM,6:00 PM,16.3,21,23.6,43.7,[Cloudy],20,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/04/2025,11:00 AM,10:30 AM,16.6,20.2,26,51.9,[Cloudy],10,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/04/2025,3:00 PM,2:30 PM,21.3,25.4,36.2,40.8,[Sunny],6,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/04/2025,5:30 PM,5:00 PM,20.5,24.9,34.8,39.4,[Sunny],11,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
31/12/2024,12-31-2024,Tue,Dec,12,2024,31/12/2024,,31/12/2024,52,12-31-2024,,2025 - AUCKLAND 250,1/05/2025,5:00 PM,4:30 PM,20.1,23.4,36.6,40.1,[Sunny],10,OUT,Complete,2025 - AUCKLAND 250,,1049,HARD,250,669fd615-d8fd-40c1-855c-e4953b3ac20d,3ed459c1-852a-4bba-9824-b493a1571615
30/12/2024,12-30-2024,Mon,Dec,12,2024,30/12/2024,1.73551E+12,30/12/2024,52,12-30-2024,1,2025 - BRISBANE 500,12-27-2024,11:00 AM,10:30 AM,22.8,28.3,30.4,45.8,[Sunny],,,Incomplete,2025 - BRISBANE 500,2025,800,HARD,500,198077bc-3b74-4f9f-8cd1-54295d49e284,55681d91-c601-4369-a121-92380ddb983f
30/12/2024,12-30-2024,Mon,Dec,12,2024,30/12/2024,,30/12/2024,52,12-30-2024,,2025 - BRISBANE 500,12-27-2024,11:00 AM,1:00 PM,28.6,34.8,51.9,28.4,[Sunny],,,Incomplete,2025 - BRISBANE 500,,800,HARD,500,198077bc-3b74-4f9f-8cd1-54295d49e284,55681d91-c601-4369-a121-92380ddb983f
30/12/2024,12-30-2024,Mon,Dec,12,2024,30/12/2024,,30/12/2024,52,12-30-2024,,2025 - BRISBANE 500,12-27-2024,11:00 AM,3:00 PM,28.6,32.2,41.8,52.2,[Sunny],,,Incomplete,2025 - BRISBANE 500,,800,HARD,500,198077bc-3b74-4f9f-8cd1-54295d49e284,55681d91-c601-4369-a121-92380ddb983f
30/12/2024,12-30-2024,Mon,Dec,12,2024,30/12/2024,1.73551E+12,30/12/2024,52,12-30-2024,1,2025 - ADELAIDE 500,12-30-2024,,,,,,,[],,,Incomplete,2025 - ADELAIDE 500,2025,2014,HARD,500,1f6ff3eb-6117-42a2-9d84-663a26b84df4,2b2c1a91-f013-43f8-ab04-3812110aefa0
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,1.73543E+12,29/12/2024,52,12-29-2024,1,2025 - CANBERRA 125,12-29-2024,10:30 AM,10:15 AM,21.7,29.9,38.9,24.2,[Sunny],43,OUT,Complete,2025 - CANBERRA 125,2025,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-29-2024,12:30 PM,12:30 PM,24.4,31.1,47.2,18.7,[Sunny],13,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-29-2024,3:00 PM,3:00 PM,24.6,31.1,51.5,18.7,[Sunny],,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-29-2024,5:30 PM,5:30 PM,24.1,30.4,47.8,22.4,[Sunny],,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-30-2024,10:30 AM,10:00 AM,25.8,25.4,44.4,43.2,[Sunny],24,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-30-2024,10:30 AM,1:00 PM,24.8,30.6,46,20.4,[Sunny],,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,1/06/2025,10:30 AM,3:30 PM,25.8,35.1,55.7,20.2,[Sunny],,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
29/12/2024,12-29-2024,Sun,Dec,12,2024,29/12/2024,,29/12/2024,52,12-29-2024,,2025 - CANBERRA 125,12-31-2024,10:30 AM,10:00 AM,20.6,24,28.1,55.5,[Partial Clouds],51,OUT,Complete,2025 - CANBERRA 125,,2096,HARD,125,2614043c-4a37-45d1-912d-9e8c5e92c3b5,83b0ff02-3bc0-4439-8d6d-18e6bc535897
