,Unnamed: 0,Tournament Name,Year,Date,Time,WBGT,AQI Reading,EWCR,Air Temperature,Relative Humidity,Type of Day,Tournament City,Tournament Level,Cleaned City,Mapped City,Region,Month,Hour
0,0,2024 - MUMBAI 125,2024.0,2/06/2024,10:30:00,29.4,152.0,OUT,33.8,42.6,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,10.0
1,1,2024 - MUMBAI 125,2024.0,2/06/2024,12:30:00,30.3,152.0,IN – MODIFICATION OF PLAY,35.5,43.0,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,12.0
2,2,2024 - MUMBAI 125,2024.0,2/06/2024,14:30:00,32.2,152.0,IN – MODIFICATION OF PLAY,36.6,41.5,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,14.0
3,3,2024 - MUMBAI 125,2024.0,2/06/2024,15:00:00,31.1,,IN – MODIFICATION OF PLAY,34.4,48.2,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,15.0
4,4,2024 - MUMBAI 125,2024.0,2/06/2024,17:30:00,24.5,107.0,OUT,27.8,68.9,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,17.0
5,5,2024 - MUMBAI 125,2024.0,2/07/2024,11:30:00,30.3,122.0,IN – MODIFICATION OF PLAY,33.6,44.9,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,11.0
6,6,2024 - MUMBAI 125,2024.0,2/07/2024,13:30:00,30.3,136.0,IN – MODIFICATION OF PLAY,35.0,50.2,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,13.0
7,7,2024 - MUMBAI 125,2024.0,2/07/2024,15:00:00,30.2,165.0,IN – MODIFICATION OF PLAY,34.8,51.1,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,15.0
8,8,2024 - MUMBAI 125,2024.0,2/07/2024,17:30:00,24.4,122.0,OUT,28.9,55.0,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,17.0
9,9,2024 - MUMBAI 125,2024.0,2/08/2024,12:30:00,30.2,95.0,IN – MODIFICATION OF PLAY,35.9,40.6,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,12.0
10,10,2024 - MUMBAI 125,2024.0,2/08/2024,15:30:00,30.2,99.0,IN – MODIFICATION OF PLAY,34.9,46.8,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,15.0
11,11,2024 - MUMBAI 125,2024.0,2/08/2024,17:30:00,25.5,126.0,OUT,29.1,55.6,Sunny,MUMBAI,,MUMBAI,MUMBAI,Asia,2.0,17.0
